National Park Number of Overnight Stays,Park Name,Total Overnight Stays
61,Yosemite,1356953.0
22,Grand Canyon,1044074.0
60,Yellowstone,996402.0
23,Grand Teton,639327.0
26,Great Smoky Mountains,479065.0
46,Olympic,455689.0
20,Glacier,341548.0
33,Joshua Tree,321537.0
62,Zion,294516.0
53,Shenandoah,289457.0
52,Sequoia,224573.0
14,Death Valley,206464.0
50,Rocky Mountain,200557.0
36,Kings Canyon,195141.0
0,Acadia,189186.0
42,Mount Rainier,168897.0
6,Bryce Canyon,133163.0
3,Big Bend,123594.0
7,Canyonlands,95719.0
39,Lassen Volcanic,90684.0
40,Mammoth Cave,82040.0
17,Everglades,76912.0
41,Mesa Verde,70528.0
25,Great Sand Dunes ,67210.0
12,Crater Lake,57126.0
8,Capitol Reef,53339.0
15,Denali,53212.0
24,Great Basin,47840.0
29,Hawaii Volcanoes,47543.0
56,Voyageurs,46457.0
32,Isle Royale,45156.0
44,New River Gorge,38554.0
54,Theodore Roosevelt,36420.0
30,Hot Springs,36374.0
1,Arches,35401.0
31,Indiana Dunes,33499.0
48,Pinnacles,31930.0
2,Badlands,30923.0
5,Black Canyon of the Gunnison,29484.0
27,Guadalupe Mountains,28336.0
10,Channel Islands,28210.0
28,Haleakala,26218.0
45,North Cascades,23310.0
21,Glacier Bay,20019.0
49,Redwood,17329.0
34,Katmai,16070.0
58,Wind Cave,10828.0
37,Kobuk Valley,7350.0
11,Congaree,6860.0
13,Cuyahoga Valley,6586.0
38,Lake Clark,5421.0
16,Dry Tortugas,5324.0
18,Gates of the Arctic ,4017.0
51,Saguaro,3706.0
55,Virgin Islands,3190.0
4,Biscayne,2267.0
47,Petrified Forest,789.0
35,Kenai Fjords,626.0
59,Wrangell-St. Elias ,195.0
9,Carlsbad Caverns,66.0
19,Gateway Arch,0.0
57,White Sands,0.0
43,National Park of American Samoa,0.0
