Total Park Acres,Park Name,Gross Area Acres
59,Wrangell-St. Elias ,8323146.48
18,Gates of the Arctic ,7523897.45
15,Denali,4740911.16
34,Katmai,3674529.33
14,Death Valley,3408395.63
21,Glacier Bay,3223383.43
38,Lake Clark,2619816.49
60,Yellowstone,2219790.71
37,Kobuk Valley,1750716.16
17,Everglades,1400539.3
22,Grand Canyon,1201647.03
20,Glacier,1013126.39
46,Olympic,922649.41
3,Big Bend,801163.21
33,Joshua Tree,795155.85
61,Yosemite,761747.5
35,Kenai Fjords,669650.05
32,Isle Royale,571790.3
26,Great Smoky Mountains,522426.88
45,North Cascades,504780.94
36,Kings Canyon,461901.2
52,Sequoia,404062.63
29,Hawaii Volcanoes,344812.18
7,Canyonlands,337597.83
23,Grand Teton,310044.36
50,Rocky Mountain,265847.74
10,Channel Islands,249561.0
2,Badlands,242755.94
8,Capitol Reef,241904.5
42,Mount Rainier,236381.64
47,Petrified Forest,221390.21
56,Voyageurs,218222.35
53,Shenandoah,200445.92
12,Crater Lake,183224.05
4,Biscayne,172971.11
62,Zion,147242.66
57,White Sands,146344.31
49,Redwood,138999.37
25,Great Sand Dunes ,107345.73
39,Lassen Volcanic,106589.02
51,Saguaro,92876.75
27,Guadalupe Mountains,86367.1
24,Great Basin,77180.0
1,Arches,76678.98
44,New River Gorge,72390.91
54,Theodore Roosevelt,70446.89
16,Dry Tortugas,64701.22
40,Mammoth Cave,54016.29
41,Mesa Verde,52485.17
0,Acadia,49071.4
9,Carlsbad Caverns,46766.45
6,Bryce Canyon,35835.08
58,Wind Cave,33970.84
28,Haleakala,33480.8
13,Cuyahoga Valley,32571.89
5,Black Canyon of the Gunnison,30779.83
11,Congaree,26692.6
48,Pinnacles,26685.73
31,Indiana Dunes,15349.08
55,Virgin Islands,15052.33
43,National Park of American Samoa,8256.67
30,Hot Springs,5554.15
19,Gateway Arch,192.83
